text,date,score,text_length,cleaned_text,weekday,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31,tfidf_32,tfidf_33,tfidf_34,tfidf_35,tfidf_36,tfidf_37,tfidf_38,tfidf_39,tfidf_40,tfidf_41,tfidf_42,tfidf_43,tfidf_44,tfidf_45,tfidf_46,tfidf_47,tfidf_48,tfidf_49,tfidf_50,tfidf_51,tfidf_52,tfidf_53,tfidf_54,tfidf_55,tfidf_56,tfidf_57,tfidf_58,tfidf_59,tfidf_60,tfidf_61,tfidf_62,tfidf_63,tfidf_64,tfidf_65,tfidf_66,tfidf_67,tfidf_68,tfidf_69,tfidf_70,tfidf_71,tfidf_72,tfidf_73,tfidf_74,tfidf_75,tfidf_76,tfidf_77,tfidf_78,tfidf_79,tfidf_80,tfidf_81,tfidf_82,tfidf_83,tfidf_84,tfidf_85,tfidf_86,tfidf_87,tfidf_88,tfidf_89,tfidf_90,tfidf_91,tfidf_92,tfidf_93,tfidf_94,tfidf_95,tfidf_96,tfidf_97,tfidf_98,tfidf_99
역사를 잊고 살아갈 순 없습니다.정작 읽어야할 사람들은 안 읽는 것 같네요.,2023-05-16,10.0,42,역사를 잊고 살아갈 순 없습니다정작 읽어야할 사람들은 안 읽는 것 같네요,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7174897741503435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6965690374899598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"내가 태어나기 약 2년전 1980년 5월 광주에서 외치는 소리를 지금 2016년 5월에 듣는다. '기억해주세요' 라는 외침을...내가 보지 못한걸 기억하기 위해 [소년이온다] 책을 펼쳤고, 영화 '화려한휴가'를 봤고, '솔아 솔아 푸르른 솔아' 음악을 들었다. 내가 할 수 있는 일이라곤 기억해주는 것, 잊지 않는 것, 몇년이 흘렀지만 같이 분노해주고 슬퍼해주는 것, 이것 뿐이다. 소설 속 표현처럼 '희생자가 되지 않기위해', 죽을 것을 뻔히 알면서도, 이기지 못할 것을 알면서도, 나몰라라 피하면 그만인 것을, 지은이 한강의 표현처럼 '인간이 무엇이지 않기 위해 무엇을 했던' 1980년 5.18 광주 민주화운동, 그들을 기억한다.읽기 전 마음의 준비를 하고 읽는 것을 권한다. 문학평론가 신형철의 추천사 표현 처럼 '[소년이 온다]는 한강이 쓴 광주 이야기라면 읽는 쪽에서도 마음의 준비가 필요하겠다고 각오한 사람조차 휘정거리게 만든다'5월이니까, 5월에 읽기 적합한 책이라 가볍게 선택하고 읽었는데 읽는 내내 마음이 불편했다. 광주를 다시 읽고 광주를 관광이 아닌 추모로 방문하고 싶다.",2016-05-11,10.0,556,내가 태어나기 약 2년전 1980년 5월 광주에서 외치는 소리를 지금 2016년 5월에 듣는다 기억해주세요 라는 외침을내가 보지 못한걸 기억하기 위해 소년이온다 책을 펼쳤고 영화 화려한휴가를 봤고 솔아 솔아 푸르른 솔아 음악을 들었다 내가 할 수 있는 일이라곤 기억해주는 것 잊지 않는 것 몇년이 흘렀지만 같이 분노해주고 슬퍼해주는 것 이것 뿐이다 소설 속 표현처럼 희생자가 되지 않기위해 죽을 것을 뻔히 알면서도 이기지 못할 것을 알면서도 나몰라라 피하면 그만인 것을 지은이 한강의 표현처럼 인간이 무엇이지 않기 위해 무엇을 했던 1980년 518 광주 민주화운동 그들을 기억한다읽기 전 마음의 준비를 하고 읽는 것을 권한다 문학평론가 신형철의 추천사 표현 처럼 소년이 온다는 한강이 쓴 광주 이야기라면 읽는 쪽에서도 마음의 준비가 필요하겠다고 각오한 사람조차 휘정거리게 만든다5월이니까 5월에 읽기 적합한 책이라 가볍게 선택하고 읽었는데 읽는 내내 마음이 불편했다 광주를 다시 읽고 광주를 관광이 아닌 추모로 방문하고 싶다,Wednesday,0.14644348908917576,0.0,0.0,0.0,0.0,0.0,0.6028994566422035,0.2730744257423245,0.0,0.0,0.0,0.0,0.0,0.0,0.2730744257423245,0.13389007159147545,0.0,0.0,0.0,0.0,0.0,0.0,0.1314734209429874,0.0,0.0,0.0,0.0,0.12179956417048354,0.0,0.0,0.0,0.15072486416055086,0.0,0.0,0.0,0.0,0.0,0.0,0.12527584050412496,0.15072486416055086,0.15072486416055086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30144972832110173,0.0,0.0,0.11340402682455315,0.1314734209429874,0.37045005027738365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1271920458716123,0.0,0.0,0.0,0.0,0.14644348908917576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11593067350457506,0.15072486416055086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
이 책을 읽기 전과 후의 저는 다른 사람인 것 같습니다,2021-11-16,10.0,30,이 책을 읽기 전과 후의 저는 다른 사람인 것 같습니다,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6226095457958887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5869393189920991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5175515329944722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한강 작가의 노벨상 소식에 쾌재를 부를 수밖에 없던 이유는 혐오의 시대에서 인터넷에 팽배하는 호남 혐오와 페미니즘 혐오에 진저리 나있었기 때문이다.광주의 숭고한 희생에서 비롯된 민주화에 감사함은 커녕 그저 조롱거리로만 일삼는 사람들이 무언가 잘못됨을 느끼길 바라고 또 바란다.똑같은 역사가 반복되지 않길 바라며.,2024-10-14,10.0,174,한강 작가의 노벨상 소식에 쾌재를 부를 수밖에 없던 이유는 혐오의 시대에서 인터넷에 팽배하는 호남 혐오와 페미니즘 혐오에 진저리 나있었기 때문이다광주의 숭고한 희생에서 비롯된 민주화에 감사함은 커녕 그저 조롱거리로만 일삼는 사람들이 무언가 잘못됨을 느끼길 바라고 또 바란다똑같은 역사가 반복되지 않길 바라며,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428153909836643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5569194303892966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999887885648086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38105565298996463,0.0,0.0,0.0,0.0
양장으로 나와서 소장용으로 샀어요 이 글에 제가 뭐라고 리뷰를 달겠어요 누구나 한번은 꼭 읽어보셨으면,2024-10-08,10.0,56,양장으로 나와서 소장용으로 샀어요 이 글에 제가 뭐라고 리뷰를 달겠어요 누구나 한번은 꼭 읽어보셨으면,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
역사를 알고 있어야  아픈 역사를 또 만들지 않을것이다..,2021-11-16,10.0,32,역사를 알고 있어야  아픈 역사를 또 만들지 않을것이다,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41500889292191256,0.4539197683601095,0.0,0.7884950619297708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"한강 작가의 ""소년이 온다"" , 가슴이 먹먹해진다광주의 80년 5.18 당시, 그리 멀지 않은 곳에 살고 있었는데,무슨 일이 벌어지는 지를 어찌 이리 모를 수 있을까!당시의 사건 속에 있었던 자들에게는죽은 자나, 살아 남은 있는 자나... 결코 삶에서 고통만이 있다그리고 역사는 늘 반복 되풀이 된다는 점에,한계를 느낀다.책 속에서,""네가 죽은 뒤 장례식을 치르지 못해,내 삶이 장례식이 되었다.용서할 수 없는 물줄기가 분수대에서 뿜어져나온 뒤에, 어디서나 사원의 불빛이 타고 있었다.봄에 피는 꽃들 속에, 눈송이들 속에, 날마다 찾아오는 저녁들 속에, 다 쓴 음료수 병에 네가 꽂은 양초 불꽃들이...""",2017-10-29,10.0,338,한강 작가의 소년이 온다  가슴이 먹먹해진다광주의 80년 518 당시 그리 멀지 않은 곳에 살고 있었는데무슨 일이 벌어지는 지를 어찌 이리 모를 수 있을까당시의 사건 속에 있었던 자들에게는죽은 자나 살아 남은 있는 자나 결코 삶에서 고통만이 있다그리고 역사는 늘 반복 되풀이 된다는 점에한계를 느낀다책 속에서네가 죽은 뒤 장례식을 치르지 못해내 삶이 장례식이 되었다용서할 수 없는 물줄기가 분수대에서 뿜어져나온 뒤에 어디서나 사원의 불빛이 타고 있었다봄에 피는 꽃들 속에 눈송이들 속에 날마다 찾아오는 저녁들 속에 다 쓴 음료수 병에 네가 꽂은 양초 불꽃들이,Sunday,0.38837927163477953,0.0,0.38837927163477953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3322410575645259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38837927163477953,0.0,0.0,0.36210707362792793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33732297994670984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34867751227967964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2657370328363427,0.0,0.0,0.0,0.0
"그때 그 시절 그 참혹했던 역사속에서 죄가 없던 사람들의 이름과 애국가 소리가 마음 속 깊숙히에서 절절히 울려 퍼진다 살아남은 자들은 무엇을 위해 살아남았고 죽은 자들은 무엇을 위해 죽었나, 책을 읽으면 알 수 있을 것 같다. 광주의 그 며칠간의 날들은 모든 이에게 아픈 시간이라는 걸.",2017-06-27,10.0,160,그때 그 시절 그 참혹했던 역사속에서 죄가 없던 사람들의 이름과 애국가 소리가 마음 속 깊숙히에서 절절히 울려 퍼진다 살아남은 자들은 무엇을 위해 살아남았고 죽은 자들은 무엇을 위해 죽었나 책을 읽으면 알 수 있을 것 같다 광주의 그 며칠간의 날들은 모든 이에게 아픈 시간이라는 걸,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37796568723528684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35454461907641677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7982472324340667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30698763536675067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
읽고나서 늪속에 빠진 기분이였어요.너무도 좋은책이에요,2017-10-21,10.0,29,읽고나서 늪속에 빠진 기분이였어요너무도 좋은책이에요,Saturday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
다시 읽어보려고 주문합니다수상 축하드려요!,2024-10-10,10.0,23,다시 읽어보려고 주문합니다수상 축하드려요,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668049826454835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7441165428705808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
